scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
balance,50,greedy,42,42,42,40,4,1440,21.077,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.7596,0.7752,50,0.301,0.012,480,478,478,0.9958,0.9958,0.996,55.028,55.028,127.348,11.123,0.011,66.162,170.018,1.0,48.249,478,287,87,0,97,6,1,0.6004,0.182,,0.2029,0.6004,0.1946,0.1213,0.0837,57,0.134,478,0,0,0,0,478,0.0644,0.0368,17279,9856,0.4296,664.542,7,2,True
balance,50,multistation,42,42,42,40,4,1440,142.677,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.7597,0.7752,50,0.2996,0.012,480,478,478,0.9958,0.9958,5.973,72.452,460.735,1314.217,20.214,0.014,480.963,1344.622,1.0,51.825,478,287,87,0,97,6,1,0.6004,0.182,,0.2029,0.6004,0.1946,0.1213,0.0837,57,0.113,2867,2389,0,0,0,2867,0.0644,0.0368,17290,9859,0.4298,664.542,7,2,True
balance,50,multistation_rep,42,42,42,40,4,1440,139.077,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.757,0.7738,50,0.3934,0.024,535,482,482,0.9009,0.9009,3.886,99.65,406.413,1191.843,36.163,0.015,442.592,1297.505,1.0,45.871,482,290,88,0,99,5,0,0.6017,0.1826,,0.2054,0.6017,0.1929,0.1203,0.0851,58,0.052,2079,1597,0,0,1143,3222,0.0637,0.036,17257,9791,0.4326,665.677,7,2,True
balance,50,bramev,42,42,42,40,4,1440,137.259,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7563,0.7726,50,0.3976,0.0,538,484,484,0.8996,0.8996,3.797,100.342,402.239,1122.359,38.64,0.015,440.895,1259.918,1.0,45.875,484,290,89,0,100,5,0,0.5992,0.1839,,0.2066,0.5992,0.1942,0.1219,0.0847,59,0.052,2043,1559,0,0,1177,3220,0.0639,0.036,17298,9798,0.4336,667.026,7,2,True
balance,100,greedy,42,42,42,40,4,1440,44.358,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.7741,0.7901,100,0.2846,2.424,974,971,971,0.9969,0.9969,0.997,64.074,64.074,168.221,16.937,0.01,81.021,203.065,1.0,52.165,971,587,179,8,186,11,0,0.6045,0.1843,0.0082,0.1916,0.6045,0.1957,0.1226,0.0772,111,0.74,971,0,0,1,1,972,0.1329,0.0764,36040,20645,0.4272,1368.743,11,1,True
balance,100,multistation,42,42,42,40,4,1440,353.584,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.7807,0.797,100,0.2913,0.264,976,972,972,0.9959,0.9959,6.22,83.872,848.052,1395.78,200.53,0.014,1048.597,1448.326,1.0,59.162,972,587,180,0,195,10,0,0.6039,0.1852,,0.2006,0.6039,0.1955,0.1235,0.0772,120,0.18,6071,5099,0,1,0,6071,0.1339,0.0763,36421,20698,0.4317,1382.819,11,2,True
balance,100,multistation_rep,42,42,42,40,4,1440,345.305,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.7807,0.7975,100,0.3793,0.15,1101,973,973,0.8837,0.8837,3.959,128.636,818.691,1411.884,221.304,0.015,1040.01,1561.868,1.0,54.316,973,590,180,0,196,7,0,0.6064,0.185,,0.2014,0.6064,0.1922,0.1223,0.0791,119,0.137,4359,3386,0,0,2309,6668,0.1339,0.0762,36295,20687,0.43,1385.157,10,2,True
balance,100,bramev,42,42,42,40,4,1440,338.2,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7801,0.7974,100,0.3793,0.222,1100,972,972,0.8836,0.8836,3.909,126.831,805.7,1317.253,218.41,0.013,1024.123,1422.859,1.0,53.788,972,589,179,0,196,7,1,0.606,0.1842,,0.2016,0.607,0.1914,0.1224,0.0792,119,0.164,4300,3328,0,0,2327,6627,0.1341,0.0762,36286,20681,0.4301,1384.842,10,2,True
balance,150,greedy,42,42,42,40,4,1440,62.571,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.7458,0.763,150,0.2864,9.534,1535,1507,1507,0.9818,0.9818,0.982,74.374,74.374,186.961,28.405,0.008,102.787,222.646,1.0,47.819,1507,905,291,27,268,15,1,0.6005,0.1931,0.0179,0.1778,0.6012,0.2031,0.1214,0.0743,156,2.286,1507,0,0,0,22,1529,0.1935,0.1115,52541,30200,0.4252,2035.003,15,0,True
balance,150,multistation,42,42,42,40,4,1440,647.036,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.7814,0.7971,150,0.3102,0.948,1467,1459,1459,0.9945,0.9945,6.005,363.67,2766.204,1527.436,545.473,0.012,3311.688,1635.028,1.0,74.118,1459,880,280,4,279,14,2,0.6032,0.1919,0.0027,0.1912,0.6045,0.2015,0.1213,0.0727,173,0.39,8810,7351,0,0,7,8817,0.193,0.1105,53109,30525,0.4252,2054.824,15,1,True
