kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,balance,50,nb_reservations,Réservations confirmées,up,,1,Recherche multi-stations,greedy,multistation,478.0,478.0,0.0,0.0,False
ladder,balance,50,mean_occupancy_rate,Taux d'occupation,up,%,1,Recherche multi-stations,greedy,multistation,0.0644,0.0644,0.0,0.0,False
ladder,balance,50,mean_service_rate,Taux de service,up,%,1,Recherche multi-stations,greedy,multistation,0.0368,0.0368,0.0,0.0,False
ladder,balance,50,slot_waste_rate,Slots réservés perdus,down,%,1,Recherche multi-stations,greedy,multistation,0.4296,0.4298,0.0002,0.0466,False
ladder,balance,50,nb_rejected_request,Demandes rejetées,down,,1,Recherche multi-stations,greedy,multistation,0.0,0.0,0.0,,False
ladder,balance,50,total_ms_mean,Latence bout-en-bout,down,ms,1,Recherche multi-stations,greedy,multistation,66.162,480.963,414.801,626.9475,False
ladder,balance,50,wall_time_s,Temps de calcul,down,s,1,Recherche multi-stations,greedy,multistation,21.077,142.677,121.6,576.9322,False
ladder,balance,50,exact_satisfaction,Satisfaction exacte,up,%,2,Réputation,multistation,multistation_rep,0.7597,0.757,-0.0027,-0.3554,False
ladder,balance,50,needs_satisfaction,Besoins satisfaits,up,%,2,Réputation,multistation,multistation_rep,0.7752,0.7738,-0.0014,-0.1806,False
ladder,balance,50,confirm_rate,Taux de confirmation,up,%,2,Réputation,multistation,multistation_rep,0.9958,0.9009,-0.0949,-9.53,False
ladder,balance,50,mean_waiting_time_min,Attente moyenne,down,min,2,Réputation,multistation,multistation_rep,0.012,0.024,0.012,100.0,False
ladder,balance,50,mean_travel_distance_km,Distance moyenne,down,km,2,Réputation,multistation,multistation_rep,0.2996,0.3934,0.0938,31.3084,False
ladder,balance,50,rate_pres,Taux de présentation,up,%,2,Réputation,multistation,multistation_rep,0.6004,0.6017,0.0013,0.2165,True
ladder,balance,50,rate_abs,Taux de no-show,down,%,2,Réputation,multistation,multistation_rep,0.182,0.1826,0.0006,0.3297,False
ladder,balance,50,nb_no_show,No-shows,down,,2,Réputation,multistation,multistation_rep,87.0,88.0,1.0,1.1494,False
ladder,balance,50,nb_reservations,Réservations confirmées,up,,2,Réputation,multistation,multistation_rep,478.0,482.0,4.0,0.8368,True
ladder,balance,50,mean_occupancy_rate,Taux d'occupation,up,%,2,Réputation,multistation,multistation_rep,0.0644,0.0637,-0.0007,-1.087,False
ladder,balance,50,mean_service_rate,Taux de service,up,%,2,Réputation,multistation,multistation_rep,0.0368,0.036,-0.0008,-2.1739,False
ladder,balance,50,slot_waste_rate,Slots réservés perdus,down,%,2,Réputation,multistation,multistation_rep,0.4298,0.4326,0.0028,0.6515,False
ladder,balance,50,nb_rejected_request,Demandes rejetées,down,,2,Réputation,multistation,multistation_rep,0.0,1143.0,1143.0,,False
ladder,balance,50,total_ms_mean,Latence bout-en-bout,down,ms,2,Réputation,multistation,multistation_rep,480.963,442.592,-38.371,-7.978,True
ladder,balance,50,wall_time_s,Temps de calcul,down,s,2,Réputation,multistation,multistation_rep,142.677,139.077,-3.6,-2.5232,True
ladder,balance,50,exact_satisfaction,Satisfaction exacte,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.757,0.7563,-0.0007,-0.0925,False
ladder,balance,50,needs_satisfaction,Besoins satisfaits,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.7738,0.7726,-0.0012,-0.1551,False
ladder,balance,50,confirm_rate,Taux de confirmation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.9009,0.8996,-0.0013,-0.1443,False
ladder,balance,50,mean_waiting_time_min,Attente moyenne,down,min,3,Adaptation entre stations,multistation_rep,bramev,0.024,0.0,-0.024,-100.0,True
ladder,balance,50,mean_travel_distance_km,Distance moyenne,down,km,3,Adaptation entre stations,multistation_rep,bramev,0.3934,0.3976,0.0042,1.0676,False
ladder,balance,50,rate_pres,Taux de présentation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.6017,0.5992,-0.0025,-0.4155,False
ladder,balance,50,rate_abs,Taux de no-show,down,%,3,Adaptation entre stations,multistation_rep,bramev,0.1826,0.1839,0.0013,0.7119,False
ladder,balance,50,nb_no_show,No-shows,down,,3,Adaptation entre stations,multistation_rep,bramev,88.0,89.0,1.0,1.1364,False
ladder,balance,50,nb_reservations,Réservations confirmées,up,,3,Adaptation entre stations,multistation_rep,bramev,482.0,484.0,2.0,0.4149,True
ladder,balance,50,mean_occupancy_rate,Taux d'occupation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.0637,0.0639,0.0002,0.314,True
ladder,balance,50,mean_service_rate,Taux de service,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.036,0.036,0.0,0.0,False
ladder,balance,50,slot_waste_rate,Slots réservés perdus,down,%,3,Adaptation entre stations,multistation_rep,bramev,0.4326,0.4336,0.001,0.2312,False
ladder,balance,50,nb_rejected_request,Demandes rejetées,down,,3,Adaptation entre stations,multistation_rep,bramev,1143.0,1177.0,34.0,2.9746,False
ladder,balance,50,total_ms_mean,Latence bout-en-bout,down,ms,3,Adaptation entre stations,multistation_rep,bramev,442.592,440.895,-1.697,-0.3834,True
ladder,balance,50,wall_time_s,Temps de calcul,down,s,3,Adaptation entre stations,multistation_rep,bramev,139.077,137.259,-1.818,-1.3072,True
ladder,optimistic,100,exact_satisfaction,Satisfaction exacte,up,%,1,Recherche multi-stations,greedy,multistation,0.8911,0.8954,0.0043,0.4825,True
ladder,optimistic,100,needs_satisfaction,Besoins satisfaits,up,%,1,Recherche multi-stations,greedy,multistation,0.9112,0.9154,0.0042,0.4609,True
ladder,optimistic,100,confirm_rate,Taux de confirmation,up,%,1,Recherche multi-stations,greedy,multistation,0.9977,0.9977,0.0,0.0,False
ladder,optimistic,100,mean_waiting_time_min,Attente moyenne,down,min,1,Recherche multi-stations,greedy,multistation,1.692,0.252,-1.44,-85.1064,True
ladder,optimistic,100,mean_travel_distance_km,Distance moyenne,down,km,1,Recherche multi-stations,greedy,multistation,0.2916,0.2933,0.0017,0.583,False
ladder,optimistic,100,rate_pres,Taux de présentation,up,%,1,Recherche multi-stations,greedy,multistation,0.7482,0.7471,-0.0011,-0.147,False
ladder,optimistic,100,rate_abs,Taux de no-show,down,%,1,Recherche multi-stations,greedy,multistation,0.0937,0.0941,0.0004,0.4269,False
ladder,optimistic,100,nb_no_show,No-shows,down,,1,Recherche multi-stations,greedy,multistation,80.0,80.0,0.0,0.0,False
ladder,optimistic,100,nb_reservations,Réservations confirmées,up,,1,Recherche multi-stations,greedy,multistation,854.0,850.0,-4.0,-0.4684,False
ladder,optimistic,100,mean_occupancy_rate,Taux d'occupation,up,%,1,Recherche multi-stations,greedy,multistation,0.1142,0.1141,-0.0001,-0.0876,False
ladder,optimistic,100,mean_service_rate,Taux de service,up,%,1,Recherche multi-stations,greedy,multistation,0.082,0.0817,-0.0003,-0.3659,False
ladder,optimistic,100,slot_waste_rate,Slots réservés perdus,down,%,1,Recherche multi-stations,greedy,multistation,0.2821,0.2842,0.0021,0.7444,False
ladder,optimistic,100,nb_rejected_request,Demandes rejetées,down,,1,Recherche multi-stations,greedy,multistation,0.0,0.0,0.0,,False
ladder,optimistic,100,total_ms_mean,Latence bout-en-bout,down,ms,1,Recherche multi-stations,greedy,multistation,72.643,1051.285,978.642,1347.1938,False
ladder,optimistic,100,wall_time_s,Temps de calcul,down,s,1,Recherche multi-stations,greedy,multistation,37.603,290.627,253.024,672.8825,False
ladder,optimistic,100,exact_satisfaction,Satisfaction exacte,up,%,2,Réputation,multistation,multistation_rep,0.8954,0.8906,-0.0048,-0.5361,False
ladder,optimistic,100,needs_satisfaction,Besoins satisfaits,up,%,2,Réputation,multistation,multistation_rep,0.9154,0.9112,-0.0042,-0.4588,False
ladder,optimistic,100,confirm_rate,Taux de confirmation,up,%,2,Réputation,multistation,multistation_rep,0.9977,0.8891,-0.1086,-10.885,False
ladder,optimistic,100,mean_waiting_time_min,Attente moyenne,down,min,2,Réputation,multistation,multistation_rep,0.252,0.042,-0.21,-83.3333,True
ladder,optimistic,100,mean_travel_distance_km,Distance moyenne,down,km,2,Réputation,multistation,multistation_rep,0.2933,0.3398,0.0465,15.8541,False
ladder,optimistic,100,rate_pres,Taux de présentation,up,%,2,Réputation,multistation,multistation_rep,0.7471,0.747,-0.0001,-0.0134,False
ladder,optimistic,100,rate_abs,Taux de no-show,down,%,2,Réputation,multistation,multistation_rep,0.0941,0.0938,-0.0003,-0.3188,True
ladder,optimistic,100,nb_no_show,No-shows,down,,2,Réputation,multistation,multistation_rep,80.0,79.0,-1.0,-1.25,True
ladder,optimistic,100,nb_reservations,Réservations confirmées,up,,2,Réputation,multistation,multistation_rep,850.0,842.0,-8.0,-0.9412,False
ladder,optimistic,100,mean_occupancy_rate,Taux d'occupation,up,%,2,Réputation,multistation,multistation_rep,0.1141,0.1121,-0.002,-1.7528,False
ladder,optimistic,100,mean_service_rate,Taux de service,up,%,2,Réputation,multistation,multistation_rep,0.0817,0.0801,-0.0016,-1.9584,False
ladder,optimistic,100,slot_waste_rate,Slots réservés perdus,down,%,2,Réputation,multistation,multistation_rep,0.2842,0.2851,0.0009,0.3167,False
ladder,optimistic,100,nb_rejected_request,Demandes rejetées,down,,2,Réputation,multistation,multistation_rep,0.0,1378.0,1378.0,,False
ladder,optimistic,100,total_ms_mean,Latence bout-en-bout,down,ms,2,Réputation,multistation,multistation_rep,1051.285,1098.197,46.912,4.4623,False
ladder,optimistic,100,wall_time_s,Temps de calcul,down,s,2,Réputation,multistation,multistation_rep,290.627,318.361,27.734,9.5428,False
ladder,optimistic,100,exact_satisfaction,Satisfaction exacte,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.8906,0.8909,0.0003,0.0337,True
ladder,optimistic,100,needs_satisfaction,Besoins satisfaits,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.9112,0.9115,0.0003,0.0329,True
ladder,optimistic,100,confirm_rate,Taux de confirmation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.8891,0.8996,0.0105,1.181,True
ladder,optimistic,100,mean_waiting_time_min,Attente moyenne,down,min,3,Adaptation entre stations,multistation_rep,bramev,0.042,0.024,-0.018,-42.8571,True
ladder,optimistic,100,mean_travel_distance_km,Distance moyenne,down,km,3,Adaptation entre stations,multistation_rep,bramev,0.3398,0.3391,-0.0007,-0.206,True
ladder,optimistic,100,rate_pres,Taux de présentation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.747,0.7458,-0.0012,-0.1606,False
ladder,optimistic,100,rate_abs,Taux de no-show,down,%,3,Adaptation entre stations,multistation_rep,bramev,0.0938,0.0938,0.0,0.0,False
ladder,optimistic,100,nb_no_show,No-shows,down,,3,Adaptation entre stations,multistation_rep,bramev,79.0,79.0,0.0,0.0,False
ladder,optimistic,100,nb_reservations,Réservations confirmées,up,,3,Adaptation entre stations,multistation_rep,bramev,842.0,842.0,0.0,0.0,False
ladder,optimistic,100,mean_occupancy_rate,Taux d'occupation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.1121,0.1124,0.0003,0.2676,True
ladder,optimistic,100,mean_service_rate,Taux de service,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.0801,0.0802,0.0001,0.1248,True
ladder,optimistic,100,slot_waste_rate,Slots réservés perdus,down,%,3,Adaptation entre stations,multistation_rep,bramev,0.2851,0.2849,-0.0002,-0.0702,True
ladder,optimistic,100,nb_rejected_request,Demandes rejetées,down,,3,Adaptation entre stations,multistation_rep,bramev,1378.0,1344.0,-34.0,-2.4673,True
ladder,optimistic,100,total_ms_mean,Latence bout-en-bout,down,ms,3,Adaptation entre stations,multistation_rep,bramev,1098.197,1118.756,20.559,1.8721,False
ladder,optimistic,100,wall_time_s,Temps de calcul,down,s,3,Adaptation entre stations,multistation_rep,bramev,318.361,322.021,3.66,1.1496,False
ladder,optimistic,150,exact_satisfaction,Satisfaction exacte,up,%,1,Recherche multi-stations,greedy,multistation,0.8618,0.8931,0.0313,3.6319,True
ladder,optimistic,150,needs_satisfaction,Besoins satisfaits,up,%,1,Recherche multi-stations,greedy,multistation,0.8827,0.9132,0.0305,3.4553,True
ladder,optimistic,150,confirm_rate,Taux de confirmation,up,%,1,Recherche multi-stations,greedy,multistation,0.9871,0.9976,0.0105,1.0637,True
ladder,optimistic,150,mean_waiting_time_min,Attente moyenne,down,min,1,Recherche multi-stations,greedy,multistation,7.77,0.396,-7.374,-94.9035,True
ladder,optimistic,150,mean_travel_distance_km,Distance moyenne,down,km,1,Recherche multi-stations,greedy,multistation,0.2865,0.2997,0.0132,4.6073,False
ladder,optimistic,150,rate_pres,Taux de présentation,up,%,1,Recherche multi-stations,greedy,multistation,0.7535,0.7522,-0.0013,-0.1725,False
ladder,optimistic,150,rate_abs,Taux de no-show,down,%,1,Recherche multi-stations,greedy,multistation,0.0945,0.0947,0.0002,0.2116,False
ladder,optimistic,150,nb_no_show,No-shows,down,,1,Recherche multi-stations,greedy,multistation,123.0,120.0,-3.0,-2.439,True
ladder,optimistic,150,nb_reservations,Réservations confirmées,up,,1,Recherche multi-stations,greedy,multistation,1302.0,1267.0,-35.0,-2.6882,False
ladder,optimistic,150,mean_occupancy_rate,Taux d'occupation,up,%,1,Recherche multi-stations,greedy,multistation,0.165,0.1668,0.0018,1.0909,True
ladder,optimistic,150,mean_service_rate,Taux de service,up,%,1,Recherche multi-stations,greedy,multistation,0.1197,0.1198,0.0001,0.0835,True
ladder,optimistic,150,slot_waste_rate,Slots réservés perdus,down,%,1,Recherche multi-stations,greedy,multistation,0.2736,0.2797,0.0061,2.2295,False
ladder,optimistic,150,nb_rejected_request,Demandes rejetées,down,,1,Recherche multi-stations,greedy,multistation,12.0,2.0,-10.0,-83.3333,True
ladder,optimistic,150,total_ms_mean,Latence bout-en-bout,down,ms,1,Recherche multi-stations,greedy,multistation,95.131,3635.584,3540.453,3721.6607,False
ladder,optimistic,150,wall_time_s,Temps de calcul,down,s,1,Recherche multi-stations,greedy,multistation,52.363,574.275,521.912,996.7191,False
ladder,optimistic,150,exact_satisfaction,Satisfaction exacte,up,%,2,Réputation,multistation,multistation_rep,0.8931,0.8914,-0.0017,-0.1903,False
ladder,optimistic,150,needs_satisfaction,Besoins satisfaits,up,%,2,Réputation,multistation,multistation_rep,0.9132,0.9121,-0.0011,-0.1205,False
ladder,optimistic,150,confirm_rate,Taux de confirmation,up,%,2,Réputation,multistation,multistation_rep,0.9976,0.9184,-0.0792,-7.9391,False
ladder,optimistic,150,mean_waiting_time_min,Attente moyenne,down,min,2,Réputation,multistation,multistation_rep,0.396,0.426,0.03,7.5758,False
