kind,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_worlds,mean_value_from,mean_value_to,mean_delta,mean_delta_pct,nb_improved,share_improved
variant,mean_service_rate,Taux de service,up,%,0,Réputation par société,bramev,bramev_global_rep,2,0.07285,0.07285,0.0,0.0,0,0.0
variant,slot_waste_rate,Slots réservés perdus,down,%,0,Réputation par société,bramev,bramev_global_rep,2,0.6003,0.60015,-0.00015,-0.026,1,0.5
variant,nb_rejected_request,Demandes rejetées,down,,0,Réputation par société,bramev,bramev_global_rep,2,126.5,126.5,0.0,0.0,0,0.0
variant,total_ms_mean,Latence bout-en-bout,down,ms,0,Réputation par société,bramev,bramev_global_rep,2,114.684,115.263,0.579,0.5209,0,0.0
variant,wall_time_s,Temps de calcul,down,s,0,Réputation par société,bramev,bramev_global_rep,2,6.7195,6.7795,0.06,0.7067,0,0.0
variant,exact_satisfaction,Satisfaction exacte,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.88185,0.88185,0.0,0.0,0,0.0
variant,needs_satisfaction,Besoins satisfaits,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.88345,0.88345,0.0,0.0,0,0.0
variant,confirm_rate,Taux de confirmation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.92935,0.92935,0.0,0.0,0,0.0
variant,mean_waiting_time_min,Attente moyenne,down,min,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.249,0.249,0.0,0.0,0,0.0
variant,mean_travel_distance_km,Distance moyenne,down,km,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.403,0.403,0.0,0.0,0,0.0
variant,rate_pres,Taux de présentation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.39085,0.39085,0.0,0.0,0,0.0
variant,rate_abs,Taux de no-show,down,%,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.1708,0.1708,0.0,0.0,0,0.0
variant,nb_no_show,No-shows,down,,0,Score proportionnel à la durée,bramev,bramev_event_score,2,15.5,15.5,0.0,0.0,0,0.0
variant,nb_reservations,Réservations confirmées,up,,0,Score proportionnel à la durée,bramev,bramev_event_score,2,87.0,87.0,0.0,0.0,0,0.0
variant,mean_occupancy_rate,Taux d'occupation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.1823,0.1823,0.0,0.0,0,0.0
variant,mean_service_rate,Taux de service,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.07285,0.07285,0.0,0.0,0,0.0
variant,slot_waste_rate,Slots réservés perdus,down,%,0,Score proportionnel à la durée,bramev,bramev_event_score,2,0.6003,0.6003,0.0,0.0,0,0.0
variant,nb_rejected_request,Demandes rejetées,down,,0,Score proportionnel à la durée,bramev,bramev_event_score,2,126.5,126.5,0.0,0.0,0,0.0
variant,total_ms_mean,Latence bout-en-bout,down,ms,0,Score proportionnel à la durée,bramev,bramev_event_score,2,114.684,116.0645,1.3805,1.2466,0,0.0
variant,wall_time_s,Temps de calcul,down,s,0,Score proportionnel à la durée,bramev,bramev_event_score,2,6.7195,6.8145,0.095,1.3756,0,0.0
variant,exact_satisfaction,Satisfaction exacte,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.88185,0.8826,0.00075,0.0877,1,0.5
variant,needs_satisfaction,Besoins satisfaits,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.88345,0.88385,0.0004,0.0466,1,0.5
variant,confirm_rate,Taux de confirmation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.92935,0.93355,0.0042,0.45,1,0.5
variant,mean_waiting_time_min,Attente moyenne,down,min,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.249,0.246,-0.003,-1.2048,1,0.5
variant,mean_travel_distance_km,Distance moyenne,down,km,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.403,0.40425,0.00125,0.3046,0,0.0
variant,rate_pres,Taux de présentation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.39085,0.39345,0.0026,0.6331,1,0.5
variant,rate_abs,Taux de no-show,down,%,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.1708,0.16995,-0.00085,-0.4328,1,0.5
variant,nb_no_show,No-shows,down,,0,Utilité multicritère,bramev,bramev_nearest_offer,2,15.5,15.5,0.0,0.0,0,0.0
variant,nb_reservations,Réservations confirmées,up,,0,Utilité multicritère,bramev,bramev_nearest_offer,2,87.0,87.5,0.5,0.4465,1,0.5
variant,mean_occupancy_rate,Taux d'occupation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.1823,0.18235,5e-05,0.0215,1,0.5
variant,mean_service_rate,Taux de service,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.07285,0.07285,0.0,0.0,0,0.0
variant,slot_waste_rate,Slots réservés perdus,down,%,0,Utilité multicritère,bramev,bramev_nearest_offer,2,0.6003,0.5997,-0.0006,-0.104,1,0.5
variant,nb_rejected_request,Demandes rejetées,down,,0,Utilité multicritère,bramev,bramev_nearest_offer,2,126.5,128.5,2.0,1.4388,0,0.0
variant,total_ms_mean,Latence bout-en-bout,down,ms,0,Utilité multicritère,bramev,bramev_nearest_offer,2,114.684,112.389,-2.295,-1.8298,2,1.0
variant,wall_time_s,Temps de calcul,down,s,0,Utilité multicritère,bramev,bramev_nearest_offer,2,6.7195,6.6745,-0.045,-0.5979,2,1.0
