scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,20,bramev,42,42,42,t00050-c00013,13,50,1,0,1,True,1,39.91408401634544,39.91408401634544,0.06799999391660094,0.004791014362126589,39.98687502462417
pessimistic,20,bramev,42,42,42,t00051-c00007,7,51,1,0,1,True,1,75.17491700127721,75.17491700127721,0.0077080330811440945,0.008374976459890604,75.19100001081824
pessimistic,20,bramev,42,42,42,t00051-c00013,13,51,1,0,1,True,1,75.15195896849036,75.15195896849036,0.05379103822633624,0.004458997864276171,75.21020900458097
pessimistic,20,bramev,42,42,42,t00058-c00001,1,58,1,0,1,True,1,38.87529199710116,38.87529199710116,0.006416987162083387,0.009040988516062498,38.890749972779304
pessimistic,20,bramev,42,42,42,t00060-c00003,3,60,1,0,1,True,1,63.21504100924358,63.21504100924358,0.010459043551236391,0.010582967661321163,63.236083020456135
pessimistic,20,bramev,42,42,42,t00061-c00012,12,61,4,0,4,True,1,29.682374966796488,85.89699998265132,0.009333016350865364,0.0118750031106174,85.9182080021128
pessimistic,20,bramev,42,42,42,t00085-c00006,6,85,1,0,1,True,1,20.70400002412498,20.70400002412498,0.005375011824071407,0.0072499969974160194,20.716625032946467
pessimistic,20,bramev,42,42,42,t00089-c00018,18,89,1,0,1,True,1,32.95033401809633,32.95033401809633,0.005249981768429279,0.006291025783866644,32.961875025648624
pessimistic,20,bramev,42,42,42,t00095-c00000,0,95,3,0,3,True,1,84.69754096586257,154.39737495034933,0.008916016668081284,0.010000017937272787,154.41629098495468
pessimistic,20,bramev,42,42,42,t00095-c00018,18,95,1,0,1,True,1,36.3289579981938,36.3289579981938,118.11416695127264,0.004417030140757561,154.4475419796072
pessimistic,20,bramev,42,42,42,t00101-c00014,14,101,2,0,2,True,1,45.87450000690296,78.54550000047311,0.008000002708286047,0.008000002708286047,78.56150000588968
pessimistic,20,bramev,42,42,42,t00102-c00014,14,102,2,0,2,True,1,87.7213750500232,146.6252500540577,0.010707997716963291,0.010249961633235216,146.6462080134079
pessimistic,20,bramev,42,42,42,t00103-c00014,14,103,3,0,3,True,1,125.40962500497699,335.99041699199006,0.01225003506988287,0.012416974641382694,336.0150840017013
pessimistic,20,bramev,42,42,42,t00104-c00014,14,104,3,0,3,True,1,111.6574159823358,297.60874999919906,0.012707954738289118,0.013917044270783663,297.63537499820814
pessimistic,20,bramev,42,42,42,t00107-c00001,1,107,1,0,1,True,1,76.60299999406561,76.60299999406561,0.008041970431804657,0.009083014447242022,76.62012497894466
pessimistic,20,bramev,42,42,42,t00107-c00009,9,107,1,0,1,True,1,49.67433400452137,49.67433400452137,26.991499995347112,0.005165988113731146,76.67099998798221
pessimistic,20,bramev,42,42,42,t00108-c00001,1,108,1,0,1,True,1,23.87791604269296,23.87791604269296,0.004833971615880728,0.006291025783866644,23.889041040092707
pessimistic,20,bramev,42,42,42,t00109-c00001,1,109,1,0,1,True,1,40.89795902837068,40.89795902837068,0.005624955520033836,0.0069160014390945435,40.91049998532981
pessimistic,20,bramev,42,42,42,t00111-c00001,1,111,3,0,3,True,1,71.14570797421038,180.92308298218995,0.009917013812810183,0.010540999937802553,180.94354099594057
pessimistic,20,bramev,42,42,42,t00117-c00015,15,117,1,0,1,True,1,18.09437497286126,18.09437497286126,0.005750043783336878,0.006583984941244125,18.10670900158584
pessimistic,20,bramev,42,42,42,t00118-c00015,15,118,2,0,2,True,1,26.544958003796637,39.27229205146432,0.005790963768959045,0.00666698906570673,39.284750004298985
pessimistic,20,bramev,42,42,42,t00120-c00011,11,120,1,0,1,True,1,40.977166034281254,40.977166034281254,0.005166977643966675,0.006166985258460045,40.98849999718368
pessimistic,20,bramev,42,42,42,t00121-c00015,15,121,1,0,1,True,1,16.654917038977146,16.654917038977146,0.00404199818149209,0.005499983672052622,16.66445902083069
pessimistic,20,bramev,42,42,42,t00125-c00015,15,125,2,0,2,True,1,33.22933299932629,56.18691601557657,0.006999995093792677,0.007958966307342052,56.201874976977706
pessimistic,20,bramev,42,42,42,t00126-c00015,15,126,2,0,2,True,1,24.399292015004903,41.79275000933558,0.005999987479299307,0.006832997314631939,41.80558299412951
pessimistic,20,bramev,42,42,42,t00155-c00004,4,155,1,0,1,True,1,64.11395798204467,64.11395798204467,0.012499978765845299,0.010750023648142815,64.13720798445866
pessimistic,20,bramev,42,42,42,t00156-c00004,4,156,4,0,4,True,1,204.61299997987226,491.47850001463667,0.012832984793931246,0.012542004697024822,491.5038750041276
pessimistic,20,bramev,42,42,42,t00156-c00017,17,156,3,0,3,True,1,32.60058298474178,324.0397499757819,167.50629199668765,0.006332993507385254,491.5523749659769
