kind,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_worlds,mean_value_from,mean_value_to,mean_delta,mean_delta_pct,nb_improved,share_improved
baseline,no_offer_rate,Demands with no offer,down,%,0,Load-Aware,load_aware,bramev,3,0.0161,0.019333,0.003233,24.4995,2,0.6667
baseline,abandon_rate,Abandoned searches,down,%,0,Load-Aware,load_aware,bramev,3,0.010667,0.0149,0.004233,34.5731,1,0.3333
baseline,request_rejection_rate,Unserved demands,down,%,0,Load-Aware,load_aware,bramev,3,0.0161,0.019333,0.003233,24.4995,2,0.6667
baseline,nb_station_level_rejections,Rejected demands,down,,0,Load-Aware,load_aware,bramev,3,207.333333,286.333333,79.0,31.0434,1,0.3333
baseline,station_rejection_rate,Station rejection rate,down,%,0,Load-Aware,load_aware,bramev,3,0.176833,0.222667,0.045833,20.1721,1,0.3333
baseline,total_ms_mean,End-to-end latency,down,ms,0,Load-Aware,load_aware,bramev,3,552.769333,513.328667,-39.440667,-3.3457,2,0.6667
baseline,wall_time_s,Wall time,down,s,0,Load-Aware,load_aware,bramev,3,46.182333,43.955333,-2.227,-3.1423,2,0.6667
baseline,exact_satisfaction,Exact satisfaction,up,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.7632,0.751467,-0.011733,-1.3771,1,0.3333
baseline,needs_satisfaction,Needs satisfied,up,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.772167,0.763967,-0.0082,-0.9308,1,0.3333
baseline,confirm_rate,Confirmation rate,up,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.985033,0.980667,-0.004367,-0.4447,0,0.0
baseline,mean_waiting_time_min,Mean waiting time,down,min,0,Minimum Waiting Time,min_waiting,bramev,3,17.856,21.026,3.17,29.7687,0,0.0
baseline,mean_travel_distance_km,Mean distance,down,km,0,Minimum Waiting Time,min_waiting,bramev,3,0.761733,0.720633,-0.0411,-5.1916,3,1.0
baseline,rate_pres,Show-up rate,up,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.4149,0.412233,-0.002667,-0.6416,1,0.3333
baseline,rate_abs,No-show rate,down,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.217267,0.2196,0.002333,1.159,1,0.3333
baseline,nb_no_show,No-shows,down,,0,Minimum Waiting Time,min_waiting,bramev,3,93.666667,94.666667,1.0,1.1061,0,0.0
baseline,nb_reservations,Confirmed reservations,up,,0,Minimum Waiting Time,min_waiting,bramev,3,432.0,431.666667,-0.333333,-0.0295,2,0.6667
baseline,mean_occupancy_rate,Occupancy rate,up,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.839067,0.826033,-0.013033,-1.5304,0,0.0
baseline,mean_service_rate,Service rate,up,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.338733,0.340767,0.002033,0.6197,3,1.0
baseline,slot_waste_rate,Wasted reserved slots,down,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.594567,0.5893,-0.005267,-0.885,3,1.0
baseline,no_offer_rate,Demands with no offer,down,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.014967,0.019333,0.004367,26.0444,0,0.0
baseline,abandon_rate,Abandoned searches,down,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.0104,0.0149,0.0045,53.6354,0,0.0
baseline,request_rejection_rate,Unserved demands,down,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.014967,0.019333,0.004367,26.0444,0,0.0
