kind,scenario,nb_cars,world_seed,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,pessimistic,150,2,slot_waste_rate,Wasted reserved slots,down,%,1,Multi-station search,greedy,multistation,0.598,0.592,-0.006,-1.0033,True
ladder,pessimistic,150,2,no_offer_rate,Demands with no offer,down,%,1,Multi-station search,greedy,multistation,0.0673,0.0167,-0.0506,-75.1857,True
ladder,pessimistic,150,2,abandon_rate,Abandoned searches,down,%,1,Multi-station search,greedy,multistation,0.0649,0.0095,-0.0554,-85.3621,True
ladder,pessimistic,150,2,request_rejection_rate,Unserved demands,down,%,1,Multi-station search,greedy,multistation,0.0673,0.0167,-0.0506,-75.1857,True
ladder,pessimistic,150,2,nb_station_level_rejections,Rejected demands,down,,1,Multi-station search,greedy,multistation,145.0,205.0,60.0,41.3793,False
ladder,pessimistic,150,2,station_rejection_rate,Station rejection rate,down,%,1,Multi-station search,greedy,multistation,0.272,0.1721,-0.0999,-36.7279,True
ladder,pessimistic,150,2,total_ms_mean,End-to-end latency,down,ms,1,Multi-station search,greedy,multistation,146.662,655.571,508.909,346.9944,False
ladder,pessimistic,150,2,wall_time_s,Wall time,down,s,1,Multi-station search,greedy,multistation,14.205,48.756,34.551,243.2313,False
ladder,pessimistic,150,2,exact_satisfaction,Exact satisfaction,up,%,2,Reputation,multistation,multistation_rep,0.7724,0.7791,0.0067,0.8674,True
ladder,pessimistic,150,2,needs_satisfaction,Needs satisfied,up,%,2,Reputation,multistation,multistation_rep,0.7859,0.7924,0.0065,0.8271,True
ladder,pessimistic,150,2,confirm_rate,Confirmation rate,up,%,2,Reputation,multistation,multistation_rep,0.9833,0.9856,0.0023,0.2339,True
ladder,pessimistic,150,2,mean_waiting_time_min,Mean waiting time,down,min,2,Reputation,multistation,multistation_rep,14.4,14.658,0.258,1.7917,False
ladder,pessimistic,150,2,mean_travel_distance_km,Mean distance,down,km,2,Reputation,multistation,multistation_rep,0.7076,0.6881,-0.0195,-2.7558,True
ladder,pessimistic,150,2,rate_pres,Show-up rate,up,%,2,Reputation,multistation,multistation_rep,0.3995,0.4005,0.001,0.2503,True
