kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_pairs,seeds,mean_value_from,mean_value_to,mean_delta,sd_delta,sem_delta,ci95_low,ci95_high,mean_delta_pct,t_stat,p_value,significant_95,nb_improved,share_improved,verdict
ladder,pessimistic,150,abandon_rate,Abandoned searches,down,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.0126,0.009067,-0.003533,0.003465,0.002,-0.01214,0.005073,-31.3284,-1.7664,0.219363,False,2,0.6667,ns
ladder,pessimistic,150,request_rejection_rate,Unserved demands,down,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.018767,0.014467,-0.0043,0.002291,0.001323,-0.009992,0.001392,-22.9238,-3.2505,0.083028,False,3,1.0,ns
ladder,pessimistic,150,nb_station_level_rejections,Rejected demands,down,,2,Reputation,multistation,multistation_rep,3,1|2|3,264.666667,216.333333,-48.333333,33.946036,19.598753,-132.659961,35.993294,-23.5956,-2.4661,0.132514,False,3,1.0,ns
ladder,pessimistic,150,station_rejection_rate,Station rejection rate,down,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.2104,0.1804,-0.03,0.026694,0.015412,-0.096312,0.036312,-20.2367,-1.9466,0.190974,False,3,1.0,ns
ladder,pessimistic,150,total_ms_mean,End-to-end latency,down,ms,2,Reputation,multistation,multistation_rep,3,1|2|3,501.245667,516.426,15.180333,11.971637,6.911828,-14.558861,44.919527,3.5363,2.1963,0.159225,False,0,0.0,ns
ladder,pessimistic,150,wall_time_s,Wall time,down,s,2,Reputation,multistation,multistation_rep,3,1|2|3,42.607667,44.224667,1.617,1.33098,0.768442,-1.689339,4.923339,4.6919,2.1043,0.170026,False,0,0.0,ns
ladder,pessimistic,150,exact_satisfaction,Exact satisfaction,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.754067,0.751467,-0.0026,0.002343,0.001353,-0.008421,0.003221,-0.3335,-1.922,0.194548,False,0,0.0,ns
ladder,pessimistic,150,needs_satisfaction,Needs satisfied,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.7656,0.763967,-0.001633,0.001531,0.000884,-0.005436,0.002169,-0.2055,-1.8481,0.205846,False,0,0.0,ns
ladder,pessimistic,150,confirm_rate,Confirmation rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.985533,0.980667,-0.004867,0.007551,0.00436,-0.023625,0.013892,-0.4947,-1.1163,0.380432,False,1,0.3333,ns
ladder,pessimistic,150,mean_waiting_time_min,Mean waiting time,down,min,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,21.13,21.026,-0.104,1.041485,0.601302,-2.691193,2.483193,0.3231,-0.173,0.878605,False,2,0.6667,ns
