scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,nb_demands_abandoned,answer_rate,confirm_rate,no_offer_rate,request_rejection_rate,abandon_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_station_level_rejections,nb_station_requests,station_rejection_rate,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
pessimistic,150,bramev_global_rep,1,1,1,12,3,288,62.947,BRAM-EV / global reputation,variant,True,True,True,utility,sampled,global,duration,0.8168,0.8271,150,0.853,12.798,426,422,422,2,0.9906,0.9906,0.0094,0.0094,0.0047,2.754,306.643,629.451,3266.51,121.842,0.008,751.301,3382.879,1.0,59.863,422,176,85,62,91,8,0,0.4171,0.2014,0.1469,0.2156,0.4171,0.2204,0.1611,0.2014,6,9.803,1173,751,0,0,99,1272,0.0778,0.8745,0.3592,15637,6380,0.592,564.066,8,0,True
pessimistic,150,bramev_event_score,1,1,1,12,3,288,57.372,BRAM-EV / event score,variant,True,True,True,utility,sampled,society,event,0.8147,0.8228,150,0.8382,13.848,428,424,424,2,0.9907,0.9907,0.0093,0.0093,0.0047,2.748,299.131,568.709,1793.73,107.35,0.008,676.068,1832.266,1.0,56.011,424,177,86,64,89,8,0,0.4175,0.2028,0.1509,0.2099,0.4175,0.2217,0.1604,0.2005,4,9.882,1176,752,0,0,100,1276,0.0784,0.8727,0.3588,15682,6397,0.5921,564.726,8,0,True
pessimistic,150,greedy,2,2,2,12,3,288,14.205,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.6349,0.6474,150,0.6442,36.612,416,388,388,27,0.9327,0.9327,0.0673,0.0673,0.0649,0.933,113.151,113.151,547.285,33.504,0.006,146.662,784.806,1.0,40.987,388,159,95,52,77,5,0,0.4098,0.2448,0.134,0.1985,0.4098,0.2577,0.1366,0.1959,1,13.613,388,0,0,3,145,533,0.272,0.6936,0.2805,12458,5008,0.598,448.282,19,0,True
pessimistic,150,multistation,2,2,2,12,3,288,48.756,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.7724,0.7859,150,0.7076,14.4,420,413,413,4,0.9833,0.9833,0.0167,0.0167,0.0095,2.348,299.568,561.885,3054.425,93.679,0.007,655.571,3904.348,1.0,56.336,413,165,103,47,95,3,0,0.3995,0.2494,0.1138,0.23,0.3995,0.2567,0.1308,0.2131,7,9.462,986,573,0,0,205,1191,0.1721,0.807,0.3251,14345,5853,0.592,527.809,6,0,True
pessimistic,150,multistation_rep,2,2,2,12,3,288,48.85,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.7791,0.7924,150,0.6881,14.658,418,412,412,4,0.9856,0.9856,0.0144,0.0144,0.0096,2.299,294.271,570.095,3092.767,90.491,0.007,660.593,3776.205,1.0,60.449,412,165,101,48,95,3,0,0.4005,0.2451,0.1165,0.2306,0.4005,0.2524,0.1286,0.2184,5,9.636,961,549,0,0,187,1148,0.1629,0.7943,0.3285,14197,5905,0.5841,525.134,7,0,True
pessimistic,150,bramev,2,2,2,12,3,288,46.803,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.778,0.7916,150,0.6972,13.716,423,418,418,5,0.9882,0.9882,0.0118,0.0118,0.0118,2.338,283.383,538.829,3016.71,88.927,0.008,627.763,3657.714,1.0,55.005,418,168,103,47,97,3,0,0.4019,0.2464,0.1124,0.2321,0.4019,0.2536,0.1316,0.2129,8,9.574,989,571,0,0,216,1205,0.1793,0.8124,0.3328,14383,5924,0.5881,531.251,7,0,True
pessimistic,150,nearest_available,2,2,2,12,3,288,49.673,Nearest Available,baseline,True,False,False,nearest,sampled,society,duration,0.6799,0.6982,150,0.6876,35.754,460,451,451,5,0.9804,0.9804,0.0196,0.0196,0.0109,2.309,286.709,532.055,3103.574,89.093,0.008,621.155,3691.337,1.0,52.555,451,180,108,53,104,6,0,0.3991,0.2395,0.1175,0.2306,0.3991,0.2528,0.1353,0.2129,8,13.847,1062,611,0,4,235,1297,0.1812,0.7578,0.3054,13504,5467,0.5952,505.042,8,0,True
pessimistic,150,min_waiting,2,2,2,12,3,288,50.003,Minimum Waiting Time,baseline,True,False,False,waiting,sampled,society,duration,0.7974,0.8064,150,0.7307,10.212,422,417,417,4,0.9882,0.9882,0.0118,0.0118,0.0095,2.322,303.482,571.544,2777.994,95.829,0.008,667.381,3606.743,1.0,59.498,417,169,103,46,96,3,0,0.4053,0.247,0.1103,0.2302,0.4053,0.2542,0.1271,0.2134,7,8.727,980,563,0,0,153,1133,0.135,0.8282,0.3309,14767,5962,0.5963,548.758,6,0,True
pessimistic,150,load_aware,2,2,2,12,3,288,50.421,Load-Aware,baseline,True,False,False,load,sampled,society,duration,0.8141,0.8226,150,0.8003,6.804,409,404,404,4,0.9878,0.9878,0.0122,0.0122,0.0098,2.357,333.209,596.729,3216.466,100.158,0.008,696.896,4139.683,1.0,61.085,404,162,101,49,88,4,0,0.401,0.25,0.1213,0.2178,0.401,0.2599,0.1312,0.2079,4,8.087,964,560,0,0,151,1115,0.1354,0.8179,0.3346,14724,6019,0.5912,539.309,6,0,True
pessimistic,150,random_feasible,2,2,2,12,3,288,44.491,Random Feasible,baseline,True,False,False,random,sampled,society,duration,0.7663,0.776,150,0.7994,17.274,433,418,418,13,0.9654,0.9654,0.0346,0.0346,0.03,2.266,294.024,521.845,2527.08,86.405,0.007,608.257,2700.929,1.0,48.274,418,166,101,51,95,5,0,0.3971,0.2416,0.122,0.2273,0.3971,0.2536,0.1388,0.2105,7,10.141,981,563,0,0,487,1468,0.3317,0.7882,0.3284,14177,5866,0.5862,526.194,5,0,True
pessimistic,150,bramev_nearest_offer,2,2,2,12,3,288,56.602,BRAM-EV / nearest offer,variant,True,True,True,nearest,sampled,society,duration,0.6946,0.7134,150,0.6783,32.634,466,457,457,5,0.9807,0.9807,0.0193,0.0193,0.0107,2.313,315.985,588.407,3656.817,83.927,0.008,672.342,4024.564,1.0,59.563,457,180,113,58,102,4,0,0.3939,0.2473,0.1269,0.2232,0.3939,0.256,0.1379,0.2123,5,13.466,1078,621,0,2,241,1319,0.1827,0.7704,0.3077,13753,5530,0.5979,513.909,7,0,True
pessimistic,150,bramev_fixed_alpha,2,2,2,12,3,288,46.744,BRAM-EV / fixed alpha,variant,True,True,True,utility,fixed,society,duration,0.772,0.7864,150,0.7056,14.148,420,411,411,6,0.9786,0.9786,0.0214,0.0214,0.0143,2.321,298.044,556.178,3359.714,92.848,0.008,649.034,4148.572,1.0,53.222,411,164,103,48,93,3,0,0.399,0.2506,0.1168,0.2263,0.399,0.2579,0.129,0.2141,5,9.56,975,564,0,2,258,1233,0.2092,0.8015,0.329,14286,5911,0.5862,526.192,6,0,True
pessimistic,150,bramev_global_rep,2,2,2,12,3,288,47.796,BRAM-EV / global reputation,variant,True,True,True,utility,sampled,global,duration,0.7859,0.7993,150,0.706,13.956,415,412,412,1,0.9928,0.9928,0.0072,0.0072,0.0024,2.335,296.321,575.005,4155.168,97.777,0.008,672.79,4995.744,1.0,57.683,412,167,101,48,92,4,0,0.4053,0.2451,0.1165,0.2233,0.4053,0.2549,0.1286,0.2112,5,9.456,969,557,0,0,110,1079,0.1019,0.7986,0.3271,14227,5890,0.586,526.791,7,0,True
pessimistic,150,bramev_event_score,2,2,2,12,3,288,46.511,BRAM-EV / event score,variant,True,True,True,utility,sampled,society,event,0.778,0.7915,150,0.6971,14.304,423,416,416,5,0.9835,0.9835,0.0165,0.0165,0.0118,2.329,284.651,540.245,2999.709,88.216,0.008,628.47,3664.944,1.0,54.462,416,167,103,46,97,3,0,0.4014,0.2476,0.1106,0.2332,0.4014,0.2548,0.1298,0.2139,8,9.659,985,569,0,0,233,1218,0.1913,0.8105,0.3316,14348,5888,0.5896,530.442,7,0,True
pessimistic,150,greedy,3,3,3,12,3,288,10.359,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.5181,0.5328,150,0.5672,57.258,452,409,409,39,0.9049,0.9049,0.0951,0.0951,0.0863,0.905,68.013,68.013,284.308,20.957,0.006,88.976,298.04,1.0,33.45,409,172,86,56,91,4,0,0.4205,0.2103,0.1369,0.2225,0.4205,0.22,0.1443,0.2152,3,18.501,409,0,0,8,223,632,0.3528,0.6649,0.2769,11196,4656,0.5841,407.826,19,0,True
