kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
variant,balance,100,nb_no_show,No-shows,down,,0,Score proportionnel à la durée,bramev,bramev_event_score,179.0,179.0,0.0,0.0,False
variant,balance,100,nb_reservations,Réservations confirmées,up,,0,Score proportionnel à la durée,bramev,bramev_event_score,972.0,972.0,0.0,0.0,False
variant,balance,100,mean_occupancy_rate,Taux d'occupation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.1341,0.1333,-0.0008,-0.5966,False
variant,balance,100,mean_service_rate,Taux de service,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.0762,0.0759,-0.0003,-0.3937,False
variant,balance,100,slot_waste_rate,Slots réservés perdus,down,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.4301,0.4302,0.0001,0.0233,False
variant,balance,100,nb_rejected_request,Demandes rejetées,down,,0,Score proportionnel à la durée,bramev,bramev_event_score,2327.0,713.0,-1614.0,-69.3597,True
variant,balance,100,total_ms_mean,Latence bout-en-bout,down,ms,0,Score proportionnel à la durée,bramev,bramev_event_score,1008.011,1042.387,34.376,3.4103,False
variant,balance,100,wall_time_s,Temps de calcul,down,s,0,Score proportionnel à la durée,bramev,bramev_event_score,334.99,351.498,16.508,4.9279,False
variant,balance,150,exact_satisfaction,Satisfaction exacte,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.7831,0.7687,-0.0144,-1.8388,False
variant,balance,150,needs_satisfaction,Besoins satisfaits,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.8001,0.791,-0.0091,-1.1374,False
variant,balance,150,confirm_rate,Taux de confirmation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.9128,0.9306,0.0178,1.95,True
variant,balance,150,mean_waiting_time_min,Attente moyenne,down,min,0,Utilité multicritère,bramev,bramev_nearest_offer,0.582,4.182,3.6,618.5567,False
variant,balance,150,mean_travel_distance_km,Distance moyenne,down,km,0,Utilité multicritère,bramev,bramev_nearest_offer,0.3749,0.368,-0.0069,-1.8405,True
variant,balance,150,rate_pres,Taux de présentation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.6041,0.6043,0.0002,0.0331,True
variant,balance,150,rate_abs,Taux de no-show,down,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.1925,0.1917,-0.0008,-0.4156,True
variant,balance,150,nb_no_show,No-shows,down,,0,Utilité multicritère,bramev,bramev_nearest_offer,282.0,283.0,1.0,0.3546,False
variant,balance,150,nb_reservations,Réservations confirmées,up,,0,Utilité multicritère,bramev,bramev_nearest_offer,1465.0,1476.0,11.0,0.7509,True
variant,balance,150,mean_occupancy_rate,Taux d'occupation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.1959,0.1954,-0.0005,-0.2552,False
