scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
optimistic,250,bramev_nearest_offer,42,42,42,40,4,1440,4851.123,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.8115,0.8616,250,0.3314,17.472,2310,2168,2168,0.9385,0.9385,4.813,11769.235,56104.149,2101.382,6088.214,0.011,62192.375,2261.918,1.0,381.573,2168,1634,209,43,279,2,1,0.7537,0.0964,0.0198,0.1287,0.7542,0.0973,0.0858,0.0627,143,3.863,11117,8949,0,6,2958,14075,0.2653,0.1927,72685,52753,0.2742,3216.533,3,0,True
optimistic,250,bramev_fixed_alpha,42,42,42,40,4,1440,4830.156,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.8841,0.9076,250,0.3565,1.704,2206,2092,2092,0.9483,0.9483,4.791,12210.128,58191.472,2549.661,6307.867,0.011,64499.35,2709.622,1.0,398.717,2092,1576,202,8,301,2,3,0.7533,0.0966,0.0038,0.1439,0.7548,0.0975,0.0856,0.0621,171,0.593,10570,8478,0,1,2604,13174,0.2682,0.1936,74303,53557,0.2792,3290.514,3,1,True
optimistic,250,bramev_global_rep,42,42,42,40,4,1440,5182.331,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.7107,0.7338,250,0.3066,2.082,8416,1617,1617,0.1921,0.1921,1.177,15746.987,75418.59,3194.723,8133.732,0.014,83552.336,3305.507,1.0,249.129,1617,1212,155,4,244,1,1,0.7495,0.0959,0.0025,0.1509,0.7502,0.0965,0.0891,0.0643,140,0.64,9904,8287,0,1,38879,48783,0.2044,0.1466,56352,40288,0.2851,2545.273,63,1,True
optimistic,250,bramev_event_score,42,42,42,40,4,1440,4906.845,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.8828,0.9081,250,0.3362,2.262,2107,2097,2097,0.9953,0.9953,5.745,12166.477,58218.937,2320.213,6278.883,0.011,64497.83,2568.707,1.0,413.898,2097,1579,203,7,303,2,3,0.753,0.0968,0.0033,0.1445,0.7539,0.0978,0.0854,0.0629,171,0.735,12105,10008,0,1,960,13065,0.2704,0.1948,74582,53745,0.2794,3303.768,2,1,True
balance,50,bramev,42,42,42,40,4,1440,134.236,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7563,0.7726,50,0.3976,0.0,538,484,484,0.8996,0.8996,3.797,98.093,393.2,1081.239,37.774,0.013,430.988,1214.907,1.0,44.861,484,290,89,0,100,5,0,0.5992,0.1839,,0.2066,0.5992,0.1942,0.1219,0.0847,59,0.052,2043,1559,0,0,1177,3220,0.0639,0.036,17298,9798,0.4336,667.026,7,2,True
balance,50,bramev_nearest_offer,42,42,42,40,4,1440,134.715,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.7563,0.7726,50,0.3976,0.0,538,484,484,0.8996,0.8996,3.797,98.479,394.326,1101.984,37.954,0.013,432.294,1239.384,1.0,45.031,484,290,89,0,100,5,0,0.5992,0.1839,,0.2066,0.5992,0.1942,0.1219,0.0847,59,0.052,2043,1559,0,0,1177,3220,0.0639,0.036,17298,9798,0.4336,667.026,7,2,True
balance,50,bramev_fixed_alpha,42,42,42,40,4,1440,135.283,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.7564,0.7726,50,0.3957,0.0,532,483,483,0.9079,0.9079,3.842,98.862,397.139,1087.636,38.099,0.013,435.25,1239.868,1.0,45.245,483,291,88,0,99,5,0,0.6025,0.1822,,0.205,0.6025,0.1925,0.1201,0.0849,58,0.058,2044,1561,0,0,1159,3203,0.0639,0.0361,17281,9819,0.4318,666.416,7,2,True
balance,50,bramev_global_rep,42,42,42,40,4,1440,281.93,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.4372,0.4476,50,0.2978,0.0,3410,227,227,0.0666,0.0666,0.408,112.34,741.807,1956.305,48.153,0.017,789.977,2322.343,1.0,25.904,227,136,46,0,44,1,0,0.5991,0.2026,,0.1938,0.5991,0.207,0.1278,0.0661,29,0.026,1391,1164,0,0,18039,19430,0.0307,0.0176,8337,4744,0.431,321.092,30,2,True
balance,50,bramev_event_score,42,42,42,40,4,1440,143.011,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.7598,0.7764,50,0.3246,0.0,484,479,479,0.9897,0.9897,5.366,82.265,445.79,1244.056,24.988,0.013,470.791,1275.005,1.0,49.956,479,291,86,0,96,6,0,0.6075,0.1795,,0.2004,0.6075,0.1921,0.119,0.0814,57,0.048,2597,2118,0,0,353,2950,0.0636,0.0364,17274,9880,0.428,665.635,7,2,True
balance,100,bramev,42,42,42,40,4,1440,334.99,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7801,0.7974,100,0.3793,0.222,1100,972,972,0.8836,0.8836,3.909,125.615,793.763,1306.914,214.236,0.012,1008.011,1410.983,1.0,53.32,972,589,179,0,196,7,1,0.606,0.1842,,0.2016,0.607,0.1914,0.1224,0.0792,119,0.164,4300,3328,0,0,2327,6627,0.1341,0.0762,36286,20681,0.4301,1384.842,10,2,True
